,RTT,LTT,LCR,LCL
intercept,-2.775408969,-3.594757895,-0.778672593,-0.626756836
Att_sum_1,0.20949338,-0.652040813,0.953126908,-0.803475195
Att_sum_2,0.290331199,-0.633597322,0.743723729,-0.768416106
Att_sum_3,0.366273384,-0.56187449,0.556839615,-0.665409085
Att_sum_4,0.44485411,-0.590488942,0.411458152,-0.529960598
Att_sum_5,0.437436794,-0.595999522,0.334672839,-0.480210396
Att_sum_6,0.396831704,-0.513873416,-0.032346211,-0.372862142
Att_sum_7,0.351557804,-0.521411695,-0.273046434,-0.251624305
Att_sum_8,0.343006588,-0.585575614,-0.370942478,-0.123297839
Att_sum_9,0.357405852,-0.567157595,-0.546321389,0.028942517
Att_sum_10,0.262861767,-0.454775715,-0.352033952,0.207414866
Att_sum_11,0.19649454,-0.29344937,-0.448353114,0.292065202
Att_sum_12,0.075414168,-0.023438974,-0.430365368,0.36555371
Att_sum_13,-0.039745944,-0.146588655,-0.54167144,0.405808575
Att_sum_14,-0.117901976,0.054756218,-0.6197811,0.523427245
Att_sum_15,-0.19147012,0.113444539,-0.754828263,0.566272756
Att_sum_16,-0.01272841,0.278389939,-0.702582609,0.472510596
Att_sum_17,-0.008875683,0.401077901,-0.577430349,0.434668028
Att_sum_18,-0.109605093,0.24561822,-0.365345523,0.511328722
Att_sum_19,0.033378219,0.115853021,-0.279452687,0.148760376
Att_sum_20,0.143475523,0.16586414,-0.058003164,0.164543673
Att_sum_21,0.189624504,0.060553909,-0.102654209,-0.000622549
Att_sum_22,0.227762024,0.138132331,0.119835325,-0.07055752
Att_sum_23,0.336971769,0.070460966,0.251813521,-0.10081711
Att_sum_24,0.328467452,-0.155458148,0.231927781,-0.128137909
Att_sum_25,0.295309716,-0.424438624,0.103463466,-0.169648733
Att_sum_26,0.258819334,-0.501255361,0.145872917,-0.153281668
Att_sum_27,0.200852147,-0.27880896,0.118567688,-0.182925893
Att_sum_28,0.149648412,-0.152376965,0.047098038,-0.203111792
Att_sum_29,0.134859687,-0.081991672,0.014515169,-0.242091422
Att_sum_30,0.089681157,-0.030111629,-0.005318195,-0.234138386
Att_sum_31,0.051597979,0.107137255,-0.102008521,-0.226333966
Att_sum_32,-0.054112085,0.26292077,-0.075538417,-0.242925885
Att_sum_33,-0.017355758,0.254645541,-0.192953689,-0.305724653
Att_sum_34,-0.027161173,0.300450409,-0.26052864,-0.228333784
Att_sum_35,-0.043520328,0.329008009,-0.151631606,-0.161151086
Att_sum_36,0.001665829,0.421122538,-0.067381059,-0.117166602
Att_sum_37,0.012642589,0.390201309,-0.024017579,-0.053052107
Att_sum_38,-0.106511205,0.383940685,0.009829274,0.053821728
Att_sum_39,-0.231823841,0.406880551,0.015380893,0.016943068
