,RTT,LTT,LCR,LCL
intercept,-2.002698463,-2.388643784,-0.408069503,-0.498582446
Rot_z_1,0.425999743,-0.237280815,0.198800084,0.111051246
Rot_z_2,0.546596059,-0.403837951,0.655714519,-0.188283019
Rot_z_3,0.874178696,-0.686924854,1.055239098,-0.709313729
Rot_z_4,1.274298355,-1.015382254,1.31000205,-1.200123946
Rot_z_5,1.576546735,-1.368135813,1.514332776,-1.595929921
Rot_z_6,1.813806715,-1.677167381,1.580845698,-1.807352986
Rot_z_7,1.948939033,-1.915170662,1.494220279,-1.705010987
Rot_z_8,2.053171961,-2.147285809,1.096730029,-1.239944394
Rot_z_9,2.002950366,-2.35340643,0.667256858,-0.596736642
Rot_z_10,2.026226416,-2.533149405,0.188385551,0.055721991
Rot_z_11,2.266809653,-2.577298421,-0.331724522,0.460350661
Rot_z_12,2.417107503,-2.442033075,-0.923521129,0.629056167
Rot_z_13,2.310186909,-2.290096316,-1.353313217,0.860706185
Rot_z_14,2.16242376,-2.16296394,-1.264775826,1.000601043
Rot_z_15,1.950842524,-2.036447219,-1.055194859,1.058395262
Rot_z_16,1.733574627,-1.779700118,-0.670422214,1.025293796
Rot_z_17,1.370905796,-1.366497341,-0.232904583,0.889749623
Rot_z_18,0.98716687,-0.939063188,0.088651113,0.579260541
Rot_z_19,0.68530487,-0.519087465,0.212671007,0.228357497
Rot_z_20,0.413463831,-0.280212367,0.232508174,-0.026492278
Course_1,-0.41924857,0.200794507,0.008323843,-0.078076936
Course_2,0.001704851,-0.00483575,0.003190433,-0.004082711
Course_3,0.006514479,-0.002752717,0.000833678,0.000383665
Course_4,0.009790452,-0.005098115,-0.004797104,0.001608675
Course_5,0.013402805,-0.012158362,-0.006280652,0.014690725
Course_6,0.020375418,-0.009804798,-0.018154017,0.033521938
Course_7,0.022405083,-0.015331182,-0.03271976,0.042210658
Course_8,0.028010775,-0.03072967,-0.033970389,0.038515629
Course_9,0.026185184,-0.024515593,-0.029657681,0.027947832
Course_10,0.026662625,-0.027787902,-0.018897016,0.016800244
Course_11,0.031730472,-0.027515172,-0.018961228,-0.013083796
Course_12,0.038046476,-0.025240607,-0.016568094,-0.037253236
Course_13,0.030457943,-0.021270795,-0.002763768,-0.048769067
Course_14,0.027839707,-0.013786882,0.015305517,-0.048389054
Course_15,0.017937014,-0.019606509,0.030680918,-0.031600706
Course_16,0.016133055,-0.020553383,0.034336438,-0.011743257
Course_17,0.014818731,-0.020445548,0.035674426,-0.018722378
Course_18,0.016200912,-0.0108808,0.021964977,-0.022757126
Course_19,0.009206882,-0.006970237,0.005569472,-0.009148367
Course_20,0.001171312,-0.003012124,0.005633491,0.000536829
