,RTT,LTT,LCR,LCL
intercept,-2.002698463,-2.388643784,-1.166048316,-0.995211719
Rot_z_1,0.425999743,-0.237280815,-1.073028013,0.578257616
Rot_z_2,0.546596059,-0.403837951,0.450697984,-0.46925055
Rot_z_3,0.874178696,-0.686924854,1.508223877,-1.422120832
Rot_z_4,1.274298355,-1.015382254,2.388616852,-2.16136226
Rot_z_5,1.576546735,-1.368135813,2.773487546,-2.785616252
Rot_z_6,1.813806715,-1.677167381,2.682015507,-2.434712866
Rot_z_7,1.948939033,-1.915170662,2.821814505,-2.0339767
Rot_z_8,2.053171961,-2.147285809,1.98616344,-1.242665743
Rot_z_9,2.002950366,-2.35340643,1.436337774,-1.582667053
Rot_z_10,2.026226416,-2.533149405,1.195660521,-0.79870272
Rot_z_11,2.266809653,-2.577298421,0.664835997,0.052113408
Rot_z_12,2.417107503,-2.442033075,-0.32394085,0.775736784
Rot_z_13,2.310186909,-2.290096316,-1.689294484,1.522640664
Rot_z_14,2.16242376,-2.16296394,-2.240477525,1.925317634
Rot_z_15,1.950842524,-2.036447219,-2.456668541,1.33312619
Rot_z_16,1.733574627,-1.779700118,-2.368399984,0.920496559
Rot_z_17,1.370905796,-1.366497341,-1.956781727,0.756008096
Rot_z_18,0.98716687,-0.939063188,-1.831734004,1.108541755
Rot_z_19,0.68530487,-0.519087465,-0.607851049,1.010887521
Rot_z_20,0.413463831,-0.280212367,-0.317794011,0.617187439
Course_1,-0.41924857,0.200794507,-0.41199251,0.356148663
Course_2,0.001704851,-0.00483575,-0.41199251,0.356148663
Course_3,0.006514479,-0.002752717,-0.456122131,0.452105523
Course_4,0.009790452,-0.005098115,-0.383273471,0.467083387
Course_5,0.013402805,-0.012158362,-0.252608711,0.441091551
Course_6,0.020375418,-0.009804798,-0.143258807,0.387923392
Course_7,0.022405083,-0.015331182,-0.337205139,0.304051629
Course_8,0.028010775,-0.03072967,-0.63080963,0.286749442
Course_9,0.026185184,-0.024515593,-0.630210555,0.1838778
Course_10,0.026662625,-0.027787902,-0.466220643,0.355980537
Course_11,0.031730472,-0.027515172,-0.320160037,0.292550043
Course_12,0.038046476,-0.025240607,-0.21856958,0.041787087
Course_13,0.030457943,-0.021270795,-0.104615859,-0.06972099
Course_14,0.027839707,-0.013786882,0.025924781,-0.213397781
Course_15,0.017937014,-0.019606509,0.090114903,-0.301878798
Course_16,0.016133055,-0.020553383,0.251493021,-0.399750943
Course_17,0.014818731,-0.020445548,0.468466209,-0.292887975
Course_18,0.016200912,-0.0108808,0.419641644,-0.156527548
Course_19,0.009206882,-0.006970237,0.075999673,0.007454228
Course_20,0.001171312,-0.003012124,-0.065390809,0.113610791
